Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2016-03-31T04:00:00Z,UVXY,97200,-1,Market On Open,Filled,-97200, 
2016-04-08T04:00:00Z,UVXY,102500,1,Market On Open,Filled,102500,Liquidated 
2016-06-01T04:00:00Z,UVXY,56000,-1,Market On Open,Filled,-56000, 
2016-06-09T04:00:00Z,UVXY,51300,1,Market On Open,Filled,51300,Liquidated 
2016-07-01T04:00:00Z,UVXY,46500,-2,Market On Open,Filled,-93000, 
2016-07-28T04:00:00Z,UVXY,28540,2,Market On Open,Filled,57080,Liquidated 
2016-10-26T04:00:00Z,UVXY,14070,-10,Market On Open,Filled,-140700, 
2016-10-28T04:00:00Z,UVXY,14700,10,Market On Open,Filled,147000,Liquidated 
2016-11-12T05:00:00Z,UVXY,13700,-9,Market On Open,Filled,-123300, 
2016-12-03T05:00:00Z,UVXY,10630,9,Market On Open,Filled,95670,Liquidated 
2016-12-07T05:00:00Z,UVXY,9150,-16,Market On Open,Filled,-146400, 
2016-12-14T05:00:00Z,UVXY,9530,16,Market On Open,Filled,152480,Liquidated 
2017-04-26T04:00:00Z,UVXY,2860,-52,Market On Open,Filled,-148720, 
2017-05-18T04:00:00Z,UVXY,3128,52,Market On Open,Filled,162656,Liquidated 
2017-05-27T04:00:00Z,UVXY,2242,-62,Market On Open,Filled,-139004, 
2017-06-07T04:00:00Z,UVXY,2166,62,Market On Open,Filled,134292,Liquidated 
2017-07-18T04:00:00Z,UVXY,1660,-86,Market On Open,Filled,-142760, 
2017-08-01T04:00:00Z,UVXY,1450,86,Market On Open,Filled,124700,Liquidated 
2017-08-29T04:00:00Z,UVXY,1745,-104,Market On Open,Filled,-181480, 
2017-09-09T04:00:00Z,UVXY,1477,104,Market On Open,Filled,153608,Liquidated 
2017-09-12T04:00:00Z,UVXY,1377.5,-132,Market On Open,Filled,-181830, 
2017-10-24T04:00:00Z,UVXY,783,132,Market On Open,Filled,103356,Liquidated 
2017-11-28T05:00:00Z,UVXY,646,-403,Market On Open,Filled,-260338, 
2017-12-01T05:00:00Z,UVXY,686.5,403,Market On Open,Filled,276659.5,Liquidated 
2017-12-12T05:00:00Z,UVXY,559,-442,Market On Open,Filled,-247078, 
2017-12-28T05:00:00Z,UVXY,503.5,442,Market On Open,Filled,222547,Liquidated 
2018-02-22T05:00:00Z,UVXY,854,-303,Market On Open,Filled,-258762, 
2018-03-23T04:00:00Z,UVXY,907,303,Market On Open,Filled,274821,Liquidated 
2018-04-13T04:00:00Z,UVXY,881.5,-282,Market On Open,Filled,-248583, 
2018-05-30T04:00:00Z,UVXY,633.5,282,Market On Open,Filled,178647,Liquidated 
2018-06-07T04:00:00Z,UVXY,506.5,-644,Market On Open,Filled,-326186, 
2018-06-20T04:00:00Z,UVXY,502,644,Market On Open,Filled,323288,Liquidated 
2018-07-11T04:00:00Z,UVXY,524,-672,Market On Open,Filled,-352128, 
2018-07-31T04:00:00Z,UVXY,479,672,Market On Open,Filled,321888,Liquidated 
2018-08-07T04:00:00Z,UVXY,418.5,-842,Market On Open,Filled,-352377, 
2018-08-14T04:00:00Z,UVXY,467,842,Market On Open,Filled,393214,Liquidated 
2018-09-15T04:00:00Z,UVXY,382.5,-835,Market On Open,Filled,-319387.5, 
2018-10-05T04:00:00Z,UVXY,383,835,Market On Open,Filled,319805,Liquidated 
2018-11-06T05:00:00Z,UVXY,571.5,-558,Market On Open,Filled,-318897, 
2018-11-21T05:00:00Z,UVXY,617.4,558,Market On Open,Filled,344509.2,Liquidated 
2018-11-28T05:00:00Z,UVXY,542.6,-530,Market On Open,Filled,-287578, 
2018-12-08T05:00:00Z,UVXY,656.4,530,Market On Open,Filled,347892,Liquidated 
2019-01-08T05:00:00Z,UVXY,690.8,-329,Market On Open,Filled,-227273.2, 
2019-03-06T05:00:00Z,UVXY,427,329,Market On Open,Filled,140483,Liquidated 
2019-03-16T04:00:00Z,UVXY,383,-847,Market On Open,Filled,-324401, 
2019-03-21T04:00:00Z,UVXY,398,847,Market On Open,Filled,337106,Liquidated 
2019-04-09T04:00:00Z,UVXY,370,-850,Market On Open,Filled,-314500, 
2019-04-10T04:00:00Z,UVXY,376.3,850,Market On Open,Filled,319855,Liquidated 
2019-04-13T04:00:00Z,UVXY,321.9,-916,Market On Open,Filled,-294860.4, 
2019-04-27T04:00:00Z,UVXY,314.5,916,Market On Open,Filled,288082,Liquidated 
2019-05-23T04:00:00Z,UVXY,359.5,-908,Market On Open,Filled,-326426, 
2019-05-24T04:00:00Z,UVXY,358,908,Market On Open,Filled,325064,Liquidated 
2019-06-07T04:00:00Z,UVXY,349.3,-884,Market On Open,Filled,-308781.2, 
2019-07-23T04:00:00Z,UVXY,252.8,884,Market On Open,Filled,223475.2,Liquidated 
2019-07-24T04:00:00Z,UVXY,249.7,-1608,Market On Open,Filled,-401517.6, 
2019-07-31T04:00:00Z,UVXY,248.9,1608,Market On Open,Filled,400231.2,Liquidated 
2019-08-22T04:00:00Z,UVXY,288.7,-1363,Market On Open,Filled,-393498.1, 
2019-08-24T04:00:00Z,UVXY,329,1363,Market On Open,Filled,448427,Liquidated 
2019-08-31T04:00:00Z,UVXY,335.6,-1076,Market On Open,Filled,-361105.6, 
2019-09-28T04:00:00Z,UVXY,268.5,1076,Market On Open,Filled,288906,Liquidated 
2019-10-15T04:00:00Z,UVXY,226.9,-1766,Market On Open,Filled,-400705.4, 
2019-11-15T05:00:00Z,UVXY,168.1,1766,Market On Open,Filled,296864.6,Liquidated 
2019-11-16T05:00:00Z,UVXY,161,-3212,Market On Open,Filled,-517132, 
2019-11-21T05:00:00Z,UVXY,164.4,3212,Market On Open,Filled,528052.8,Liquidated 
2019-11-27T05:00:00Z,UVXY,143.6,-3486,Market On Open,Filled,-500589.6, 
2019-12-03T05:00:00Z,UVXY,178.3,3486,Market On Open,Filled,621553.8,Liquidated 
2019-12-18T05:00:00Z,UVXY,126.6,-3001,Market On Open,Filled,-379926.6, 
2019-12-28T05:00:00Z,UVXY,131.7,3001,Market On Open,Filled,395231.7,Liquidated 
2020-01-17T05:00:00Z,UVXY,105.6,-3503,Market On Open,Filled,-369916.8, 
2020-01-22T05:00:00Z,UVXY,104.5,3503,Market On Open,Filled,366063.5,Liquidated 
2020-02-14T05:00:00Z,UVXY,107.6,-3435,Market On Open,Filled,-369606, 
2020-02-21T05:00:00Z,UVXY,117.9,3435,Market On Open,Filled,404986.5,Liquidated 
2020-03-27T04:00:00Z,UVXY,664.4,-572,Market On Open,Filled,-380036.8, 
2020-06-12T04:00:00Z,UVXY,398.8,572,Market On Open,Filled,228113.6,Liquidated 
2020-07-02T04:00:00Z,UVXY,293.5,-1568,Market On Open,Filled,-460208, 
2020-08-22T04:00:00Z,UVXY,191.1,1568,Market On Open,Filled,299644.8,Liquidated 
2020-09-17T04:00:00Z,UVXY,210,-3247,Market On Open,Filled,-681870, 
2020-09-24T04:00:00Z,UVXY,221.8,3247,Market On Open,Filled,720184.6,Liquidated 
2020-10-09T04:00:00Z,UVXY,174.5,-3345,Market On Open,Filled,-583702.5, 
2020-10-22T04:00:00Z,UVXY,172.3,3345,Market On Open,Filled,576343.5,Liquidated 
2020-10-23T04:00:00Z,UVXY,166.3,-3719,Market On Open,Filled,-618469.7, 
2020-10-24T04:00:00Z,UVXY,173.1,3719,Market On Open,Filled,643758.9,Liquidated 
2020-11-07T05:00:00Z,UVXY,130.4,-4056,Market On Open,Filled,-528902.4, 
2020-12-05T05:00:00Z,UVXY,112.2,4056,Market On Open,Filled,455083.2,Liquidated 
2021-02-06T05:00:00Z,UVXY,100,-6655,Market On Open,Filled,-665500, 
2021-03-05T05:00:00Z,UVXY,91.9,6655,Market On Open,Filled,611594.5,Liquidated 
2021-03-11T05:00:00Z,UVXY,80.4,-8760,Market On Open,Filled,-704304, 
2021-04-15T04:00:00Z,UVXY,46.7,8760,Market On Open,Filled,409092,Liquidated 
2021-05-28T04:00:00Z,UVXY,34.75,-28856,Market On Open,Filled,-1002746, 
2021-06-18T04:00:00Z,UVXY,33.86,28856,Market On Open,Filled,977064.16,Liquidated 
2021-08-10T04:00:00Z,UVXY,24.96,-41066,Market On Open,Filled,-1025007.36, 
2021-08-19T04:00:00Z,UVXY,28.6,41066,Market On Open,Filled,1174487.6,Liquidated 
2021-08-31T04:00:00Z,UVXY,22.18,-40674,Market On Open,Filled,-902149.32, 
2021-09-09T04:00:00Z,UVXY,22.13,40674,Market On Open,Filled,900115.62,Liquidated 
2021-10-09T04:00:00Z,UVXY,20.89,-43459,Market On Open,Filled,-907858.51, 
2021-11-09T05:00:00Z,UVXY,15.98,43459,Market On Open,Filled,694474.82,Liquidated 
